cell,rep,method,arm,weight,secs,nfail,nrej,fdp,tpr,tprP,typeI,replica_corr
2001,5,locom,A2,Wdet,,63,6,0.16666666666666666,0.5,0.5,,
2001,5,locom,A2,Winfo,,63,6,0.16666666666666666,0.5,0.5,,
2001,6,twochannel,A1,none,50.6,0,10,0.0,1.0,1.0,0.03333333333333333,
2001,6,twochannel,A2,Wdet,,0,11,0.09090909090909091,1.0,1.0,,
2001,6,twochannel,A2,Winfo,,0,11,0.09090909090909091,1.0,1.0,,
2001,6,wilcoxon,A0,none,0.1,0,10,0.0,1.0,1.0,0.06666666666666667,
2001,6,wilcoxon,A1,none,,0,10,0.0,1.0,1.0,0.044444444444444446,
2001,6,wilcoxon,A2,Wdet,,0,10,0.0,1.0,1.0,,
2001,6,wilcoxon,A2,Winfo,,0,10,0.0,1.0,1.0,,
2001,6,linda,A0,none,3.5,0,10,0.0,1.0,1.0,0.06666666666666667,0.9947130440023306
2001,6,linda,A1,none,,0,11,0.09090909090909091,1.0,1.0,0.1,
2001,6,linda,A2,Wdet,,0,10,0.0,1.0,1.0,,
2001,6,linda,A2,Winfo,,0,11,0.09090909090909091,1.0,1.0,,
2001,6,zinq,A0,none,4.8,2,10,0.0,1.0,1.0,0.03409090909090909,
2001,6,zinq,A2,Wdet,,2,10,0.0,1.0,1.0,,
2001,6,zinq,A2,Winfo,,2,10,0.0,1.0,1.0,,
2001,6,locom,A1n,none,49.3,58,8,0.125,0.7,0.7,0.15625,
2001,6,locom,A2,Wdet,,58,8,0.125,0.7,0.7,,
2001,6,locom,A2,Winfo,,58,8,0.125,0.7,0.7,,
2001,7,twochannel,A1,none,46.5,0,10,0.0,1.0,1.0,0.022222222222222223,
2001,7,twochannel,A2,Wdet,,0,10,0.0,1.0,1.0,,
2001,7,twochannel,A2,Winfo,,0,10,0.0,1.0,1.0,,
2001,7,wilcoxon,A0,none,0.0,0,11,0.09090909090909091,1.0,1.0,0.06666666666666667,
2001,7,wilcoxon,A1,none,,0,11,0.09090909090909091,1.0,1.0,0.05555555555555555,
2001,7,wilcoxon,A2,Wdet,,0,10,0.0,1.0,1.0,,
2001,7,wilcoxon,A2,Winfo,,0,11,0.09090909090909091,1.0,1.0,,
2001,7,linda,A0,none,2.4,0,10,0.0,1.0,1.0,0.03333333333333333,0.9989440077743089
2001,7,linda,A1,none,,0,10,0.0,1.0,1.0,0.022222222222222223,
2001,7,linda,A2,Wdet,,0,10,0.0,1.0,1.0,,
2001,7,linda,A2,Winfo,,0,10,0.0,1.0,1.0,,
2001,7,zinq,A0,none,4.8,0,11,0.09090909090909091,1.0,1.0,0.05555555555555555,
2001,7,zinq,A2,Wdet,,0,10,0.0,1.0,1.0,,
2001,7,zinq,A2,Winfo,,0,11,0.09090909090909091,1.0,1.0,,
2001,7,locom,A1n,none,48.4,58,5,0.0,0.5,0.5,0.0625,
2001,7,locom,A2,Wdet,,58,5,0.0,0.5,0.5,,
2001,7,locom,A2,Winfo,,58,5,0.0,0.5,0.5,,
